Positive stress,Positive Binary,Negative stress,Negative Binary,Timestamp,Positive Stress Category,Negative Stress Category,Total Stress
1.0,1.0,1.0,1.0,2024-02-07 07:16:04.366,Low Stress,Low Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 07:31:06.340,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 07:46:16.200,Low Stress,No Stress,2.0
3.0,1.0,0.0,0.0,2024-02-07 08:01:18.194,High Stress,No Stress,3.0
1.0,1.0,1.0,1.0,2024-02-07 08:16:59.202,Low Stress,Low Stress,2.0
0.0,0.0,0.0,0.0,2024-02-07 08:30:41.967,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 08:45:55.245,No Stress,No Stress,0.0
1.0,1.0,0.0,0.0,2024-02-07 08:59:41.434,Low Stress,No Stress,1.0
0.0,0.0,0.0,0.0,2024-02-07 09:17:51.477,No Stress,No Stress,0.0
1.0,1.0,0.0,0.0,2024-02-07 09:45:19.099,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 09:46:08.448,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 10:01:43.713,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 10:29:33.391,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 10:57:53.952,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 11:03:45.808,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 11:16:00.009,Low Stress,No Stress,1.0
0.0,0.0,1.0,1.0,2024-02-07 11:36:07.809,No Stress,Low Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 11:49:14.120,Low Stress,No Stress,1.0
0.0,0.0,1.0,1.0,2024-02-07 12:02:22.549,No Stress,Low Stress,1.0
2.0,1.0,0.0,0.0,2024-02-07 12:20:01.386,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 12:34:51.101,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 12:45:53.197,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 13:06:40.150,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 13:17:49.910,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 13:32:21.850,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 13:50:39.411,Low Stress,No Stress,2.0
2.0,1.0,1.0,1.0,2024-02-07 14:01:21.893,Low Stress,Low Stress,3.0
3.0,1.0,0.0,0.0,2024-02-07 14:16:25.187,High Stress,No Stress,3.0
3.0,1.0,0.0,0.0,2024-02-07 14:31:14.876,High Stress,No Stress,3.0
3.0,1.0,0.0,0.0,2024-02-07 15:00:19.594,High Stress,No Stress,3.0
2.0,1.0,0.0,0.0,2024-02-07 15:01:16.568,Low Stress,No Stress,2.0
0.0,0.0,0.0,0.0,2024-02-07 15:18:11.716,No Stress,No Stress,0.0
1.0,1.0,0.0,0.0,2024-02-07 15:32:44.901,Low Stress,No Stress,1.0
0.0,0.0,0.0,0.0,2024-02-07 15:45:36.911,No Stress,No Stress,0.0
2.0,1.0,0.0,0.0,2024-02-07 16:01:54.994,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 16:14:52.969,Low Stress,No Stress,2.0
0.0,0.0,0.0,0.0,2024-02-07 16:31:02.578,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 16:46:03.976,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 17:00:06.613,No Stress,No Stress,0.0
1.0,1.0,0.0,0.0,2024-02-07 17:15:44.465,Low Stress,No Stress,1.0
2.0,1.0,0.0,0.0,2024-02-07 17:30:53.279,Low Stress,No Stress,2.0
1.0,1.0,0.0,0.0,2024-02-07 17:47:36.784,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 18:04:22.525,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 18:18:46.751,Low Stress,No Stress,1.0
1.0,1.0,0.0,0.0,2024-02-07 18:30:37.563,Low Stress,No Stress,1.0
2.0,1.0,0.0,0.0,2024-02-07 18:45:43.327,Low Stress,No Stress,2.0
0.0,0.0,0.0,0.0,2024-02-07 19:02:58.754,No Stress,No Stress,0.0
2.0,1.0,0.0,0.0,2024-02-07 19:19:44.100,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 19:30:21.714,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 19:45:40.410,Low Stress,No Stress,2.0
2.0,1.0,0.0,0.0,2024-02-07 20:03:46.672,Low Stress,No Stress,2.0
1.0,1.0,1.0,1.0,2024-02-07 20:18:38.643,Low Stress,Low Stress,2.0
1.0,1.0,0.0,0.0,2024-02-07 20:31:18.999,Low Stress,No Stress,1.0
0.0,0.0,0.0,0.0,2024-02-07 20:45:40.396,No Stress,No Stress,0.0
1.0,1.0,0.0,0.0,2024-02-07 20:59:34.223,Low Stress,No Stress,1.0
2.0,1.0,0.0,0.0,2024-02-07 21:19:38.546,Low Stress,No Stress,2.0
0.0,0.0,0.0,0.0,2024-02-07 21:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 21:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 22:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 22:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 22:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 22:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 23:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 23:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 23:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-07 23:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 00:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 00:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 00:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 00:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 01:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 01:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 01:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 01:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 02:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 02:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 02:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 02:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 03:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 03:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 03:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 03:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 04:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 04:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 04:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 04:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 05:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 05:17:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 05:32:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 05:47:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 06:02:11.234,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 06:15:05.233,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 06:32:56.533,No Stress,No Stress,0.0
0.0,0.0,0.0,0.0,2024-02-08 06:46:20.942,No Stress,No Stress,0.0
2.0,1.0,0.0,0.0,2024-02-08 07:03:14.020,Low Stress,No Stress,2.0
1.0,1.0,0.0,0.0,2024-02-08 07:17:59.240,Low Stress,No Stress,1.0
